Temp,Humd,Label
26.0,39.0,1
26.0,39.0,1
26.0,39.0,1
26.0,39.0,1
26.0,39.0,1
26.0,39.0,1
26.0,39.0,1
26.0,39.0,1
26.0,38.0,1
26.0,38.0,1
26.0,38.0,1
26.0,38.0,1
26.0,38.0,1
26.0,38.0,1
26.0,38.0,1
26.0,37.0,1
26.0,37.0,1
26.0,37.0,1
26.0,37.0,1
26.0,37.0,1
26.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
26.0,37.0,1
25.0,36.0,1
26.0,36.0,1
26.0,36.0,1
26.0,36.0,1
26.0,36.0,1
12.0,151.0,1
25.0,47.0,1
25.0,47.0,1
25.0,46.0,1
25.0,46.0,1
25.0,46.0,1
25.0,45.0,1
25.0,45.0,1
